"id","name","type","crop_id","address","zipcode","city","country","lat","lon","website","image_url"
1,"Wijngoed de Reestlandhoeve","farm","grape","Hoofdweg 21","7707 RB","Balkbrug","NL","52.6322317","6.3283564","www.reestlandhoeve.nl","https://reestlandhoeve.com/wp-content/uploads/2015/10/Tasty-Tales.png"
2,"Vechtdalhoeve","farm","cow","Ridderinkweg 3","7735 KG","Arriën","NL","52.5261242","6.4495527","www.vechtdalhoeve.nl","http://vechtdalhoeve.nl/images/%c2%a9%206308009132.jpg"
3,"IJshoeve Bosman","shop","dairy","Posthoornweg 38","7781 PK","De Krim","NL","52.6438177","6.5929579","www.ijshoevebosman.nl","http://ijshoevebosman.nl/images/boerderij.jpg"
4,"Bierbrouwerij De Pauw","brewery","beer","Achterbroekweg 1","7731 PN","Ommen","NL","52.478629","6.4726702","www.pauwbier.nl","http://pauwbier.nl/images/Brouwerij.jpg"
5,"Slothoeve Eieren","farm","egg","Slotweg 25","7691 PN","Bergentheim","NL","52.5269846","6.6015539","www.boumavoerwortelen.nl","http://www.boumavoerwortelen.nl/images/paginas/50_thumb_25_1.jpg"
6,"Aspergeboerderij Het Nijenhuis","farm",,"Rheezerweg 127","7795 DB","Diffelen","NL","52.5244169","6.5592645","www.hetnijenhuis.nl",
7,"Vechtdal Eieren","farm","egg","Varsenerweg 5b","7731 PZ","Ommen","NL","52.5191969","6.3893746","www.vechtdaleieren.nl","https://image.jimcdn.com/app/cms/image/transf/dimension=960x10000:format=jpg/path/s7d013b79b48fead6/image/i1c216aecc03f1f18/version/1444201960/image.jpg"
8,"Boerderij de Huppe","farm",,"Kleine Veerweg 9","8017 BP","Zwolle","NL","52.4867274","6.0886019","www.dehuppe.nl",
9,"Tuinderij Ernie v.d. Kolk","farm","asparagus","Hout Es 4","7722 VP","Dalfsen","NL","52.5259959","6.3383257","www.ernievanderkolk.nl","http://c866083.r83.cf3.rackcdn.com/cms-5323-1362835487.jpg"
10,"De Meulenhorst",,,"Achterbroekweg 1","7731 PN","Ommen","NL","52.478629","6.4726702","www.meulenhorst.nl",
11,"De Varsenerhof",,,"Emslandweg 6","7731 RP","Ommen","NL","52.5354191","6.3990141","www.varsenerhof.nl",
12,"De Arendshorst",,,"Arendhorsterweg 1","7731 RC","Varssen","NL","52.5253626","6.366777","www.arendshorstommen.nl",
